Geography,Male,Female
Alabama,2346193,2494971
Alaska,385296,351559
Arizona,3344106,3384471
Arkansas,1456694,1511778
California,19200970,19453236
Colorado,2689636,2669659
Connecticut,1750270,1838300
Delaware,452416,482279
District of Columbia,312629,346380
Florida,9741262,10193189
Georgia,4922471,5176849
Hawaii,709870,703803
Idaho,819845,815638
Illinois,6310460,6541224
Indiana,3245322,3344256
Iowa,1542988,1563601
Kansas,1441912,1456380
Kentucky,2172745,2239244
Louisiana,2271684,2373986
Maine,651344,678579
Maryland,2886734,3073168
Massachusetts,3269371,3472772
Michigan,4869885,5039715
Minnesota,2710157,2740711
Mississippi,1450269,1538923
Missouri,2973317,3086334
Montana,514191,509200
Nebraska,935935,945324
Nevada,1426322,1412850
New Hampshire,656507,670996
New Jersey,4350531,4564925
New Mexico,1031440,1051229
New York,9555130,10142327
North Carolina,4834592,5106236
North Dakota,376979,359183
Ohio,5673893,5913048
Oklahoma,1919995,1955594
Oregon,1971512,2010755
Pennsylvania,6255042,6528935
Rhode Island,511297,543194
South Carolina,2348338,2486267
South Dakota,428134,422924
Tennessee,3191977,3356032
Texas,13379165,13577270
Utah,1483055,1465372
Vermont,308711,317538
Virginia,4086283,4224018
Washington,3529431,3543715
West Virginia,912270,933822
Wisconsin,2859055,2895743
Wyoming,297691,285338
Puerto Rico,1685787,1843598
